USD,USA
dollar des ƒtats-Unis,$
dollar canadien,CA$
"My Account","Mon compte"
"Cart","Panier"
"Wishlist","Liste de souhaits"
"Black Friday Sale","Vente du vendredi noir"
"Free Delivery","Livraison gratuite"
"Add to Cart","Ajouter au panier"
"Enter your destination to get a shipping estimate.","Saisissez votre adresse  pour obtenirles frais de port.""
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"Tax","Taxe"
"Adding...","Ajouter..."
"Added","Ajouté"
"Quick Look","Coup d'oeil"
"Category","Catégorie"
"Price","Prix"
"Brand","Marque"
"You have not set a default billing address.","Vous n'avez pas défini d'adresse de facturation par défaut."
"You have not set a default shipping address.","Vous n'avez pas défini d'adresse de livraison par défaut."
"My Dealer","Mon concessionnaire"
"Color","Couleur"
"size","Taille"
"%1 Product results","10 Résultats produits"
"%1 Product result","10 Résultat produits"
"Rating","Note"
"Product results","Résultats produits"
"New","Nouveauté"
"Voir tous","Voir tout"
"Featured categories","Catégories vedettes"
"VIEW ALL COLLECTION","VOIR TOUTE LA COLLECTION"
"Featured Products","Produits populaires"
"VIEW ALL BRANDS","VOIR TOUTES LES MARQUES"
"BRANDS","MARQUES"
"Subscribe Now","Abonnez-vous maintenant"
"Proceed to Checkout","Passer à la Caisse"
"Item in Cart","Article dans le panier"
"Cart Subtotal","Sous-total du panier"
"Qty","Qté"
"SKU","OBJET"
"Add to Loves","Ajouter aux souhaits"
"Details","Détails"
"You can create an account after checkout.","Vous pouvez créer un compte après avoir passé la commande."
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"HOW TO USE","COMMENT UTILISER"
"INGREDIENTS","INGRÉDIENTS"
"ABOUT THE BRAND","À PROPOS DE LA MARQUE"
"SHIPPING AND RETURNS","LIVRAISON ET RETOURS"
"Reviews","Commentaires"
"ratings & reviews","notes et avis"
"reviews","Commentaires"
"Stars","ƒtoiles"
"would recommend","recommandation"
"Similar Products","produits similaires"
"Explore this product","Explorez ce produit"
"YOU MAY ALSO LIKE","TU POURRAIS AUSSI AIMER"
"Signup","Inscrivez-vous"
"Login","Connexion"
"I agree to the","je suis d'accord avec les"
"Term of Use","Conditions d'utilisation"
"and","et"
"View and Edit Cart","Afficher et modifier le panier"
"Privacy Policy.","Politique de Confidentialité.""
"Learn More","Voir Plus"
"OR","OU ALORS"
"Forgot Password","Mot de passe Oublié""
"Get New Password","Obtenir un nouveau mot de passe"
"Brand","Marque"
"Log In","connexion"
"My Orders","Mes commandes"
"My Downloadable Products","Mes produits téléchargeables"
"My Wish List","Ma liste d'envies"
"Address Book","Carnet d'adresses"
"Account Information","Information sur le compte"
"Stored Payment Methods","Modes de paiement enregistrés"
"Billing Agreements","Accords de facturation"
"My Product Reviews","Mes avis produits"
"Newsletter Subscriptions",'Abonnement à la Newsletter"
"My Saved Cards",'Mes cartes enregistrées"
'My Subscriptions","Mes abonnements"
"Account Information","Information sur le compte"
"Contact Information","Coordonnées"
"Newsletters","Newsletter"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter." 
"Address Book","Carnet d'adresses"
"Manage Addresses","Gérer les adresses"
"Are you sure you would like to remove this item from the shopping cart?","Voulez-vous vraiment supprimer cet article du panier?"
"Cancel","Annuler"
"Enter email address","Entrer l'adresse e-mail"
"Default Billing Address","adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Edit Address","Modifier l'adresse"
"Edit","ƒditer"
"Change Password',"Changer le mot de passe"
"Order","Ordre"
"Item","Article"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Vous avez ajouté %1 à ton <a href=""%2"">Panier</a>."
